Movie,Certificate,Duration
"As Above, So Below",15,93
Bad Neighbours,15,95
Boyhood,15,166
Captain America: The Winter Soldier,12A,136
Divergent,12A,136
Godzilla,12,123
Guardians Of The Galaxy,12A,121
If I Stay,12A,107
Into The Storm,12A,89
Let's Be Cops,15,104
Lucy,15,89
Maleficent,PG,6
Sin City: A Dame To Kill For,18,102
Teenage Mutant Ninja Turtles,12A,101
The Amazing Spider-Man 2,12,139
The Expendables 3,12A,123
The Fault in Our Stars,12A,123
The Giver,12A,97
The Hunger Games: Mockingjay,12A,140
White Bird In A Blizzard,18,91